tool,target,url,api_status_code,target_status_code,response_ms,has_title,has_expected_content,title,content_type,success,error
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1624,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,TripAdvisor Paris restaurant listings,https://www.tripadvisor.com/Restaurants-g187147-Paris_Ile_de_France.html,200,403,737,True,False,tripadvisor.com,text/html;charset=utf-8,False,
browserbase,TripAdvisor Paris restaurant listings,https://www.tripadvisor.com/Restaurants-g187147-Paris_Ile_de_France.html,200,403,735,True,False,tripadvisor.com,text/html;charset=utf-8,False,
browserbase,TripAdvisor Paris restaurant listings,https://www.tripadvisor.com/Restaurants-g187147-Paris_Ile_de_France.html,200,403,613,True,False,tripadvisor.com,text/html;charset=utf-8,False,
browserbase,TripAdvisor Paris restaurant listings,https://www.tripadvisor.com/Restaurants-g187147-Paris_Ile_de_France.html,200,403,580,True,False,tripadvisor.com,text/html;charset=utf-8,False,
browserbase,TripAdvisor Paris restaurant listings,https://www.tripadvisor.com/Restaurants-g187147-Paris_Ile_de_France.html,200,403,561,True,False,tripadvisor.com,text/html;charset=utf-8,False,
browserbase,TripAdvisor Paris restaurant listings,https://www.tripadvisor.com/Restaurants-g187147-Paris_Ile_de_France.html,200,403,587,True,False,tripadvisor.com,text/html;charset=utf-8,False,
browserbase,TripAdvisor Paris restaurant listings,https://www.tripadvisor.com/Restaurants-g187147-Paris_Ile_de_France.html,200,403,566,True,False,tripadvisor.com,text/html;charset=utf-8,False,
browserbase,TripAdvisor Paris restaurant listings,https://www.tripadvisor.com/Restaurants-g187147-Paris_Ile_de_France.html,200,403,588,True,False,tripadvisor.com,text/html;charset=utf-8,False,
browserbase,TripAdvisor Paris restaurant listings,https://www.tripadvisor.com/Restaurants-g187147-Paris_Ile_de_France.html,200,403,582,True,False,tripadvisor.com,text/html;charset=utf-8,False,
browserbase,TripAdvisor Paris restaurant listings,https://www.tripadvisor.com/Restaurants-g187147-Paris_Ile_de_France.html,200,403,574,True,False,tripadvisor.com,text/html;charset=utf-8,False,
browserbase,TripAdvisor Paris restaurant listings,https://www.tripadvisor.com/Restaurants-g187147-Paris_Ile_de_France.html,200,403,581,True,False,tripadvisor.com,text/html;charset=utf-8,False,
browserbase,TripAdvisor Paris restaurant listings,https://www.tripadvisor.com/Restaurants-g187147-Paris_Ile_de_France.html,200,403,726,True,False,tripadvisor.com,text/html;charset=utf-8,False,
browserbase,TripAdvisor Paris restaurant listings,https://www.tripadvisor.com/Restaurants-g187147-Paris_Ile_de_France.html,200,403,562,True,False,tripadvisor.com,text/html;charset=utf-8,False,
browserbase,TripAdvisor Paris restaurant listings,https://www.tripadvisor.com/Restaurants-g187147-Paris_Ile_de_France.html,200,403,901,True,False,tripadvisor.com,text/html;charset=utf-8,False,
browserbase,TripAdvisor Paris restaurant listings,https://www.tripadvisor.com/Restaurants-g187147-Paris_Ile_de_France.html,200,403,592,True,False,tripadvisor.com,text/html;charset=utf-8,False,
browserbase,TripAdvisor Paris restaurant listings,https://www.tripadvisor.com/Restaurants-g187147-Paris_Ile_de_France.html,200,403,701,True,False,tripadvisor.com,text/html;charset=utf-8,False,
browserbase,TripAdvisor Paris restaurant listings,https://www.tripadvisor.com/Restaurants-g187147-Paris_Ile_de_France.html,200,403,578,True,False,tripadvisor.com,text/html;charset=utf-8,False,
browserbase,TripAdvisor Paris restaurant listings,https://www.tripadvisor.com/Restaurants-g187147-Paris_Ile_de_France.html,200,403,609,True,False,tripadvisor.com,text/html;charset=utf-8,False,
browserbase,TripAdvisor Paris restaurant listings,https://www.tripadvisor.com/Restaurants-g187147-Paris_Ile_de_France.html,200,403,675,True,False,tripadvisor.com,text/html;charset=utf-8,False,
browserbase,TripAdvisor Paris restaurant listings,https://www.tripadvisor.com/Restaurants-g187147-Paris_Ile_de_France.html,200,403,632,True,False,tripadvisor.com,text/html;charset=utf-8,False,
browserbase,TripAdvisor Paris restaurant listings,https://www.tripadvisor.com/Restaurants-g187147-Paris_Ile_de_France.html,200,403,571,True,False,tripadvisor.com,text/html;charset=utf-8,False,
